"동별","가구원수별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","3982290","4046799","4098818","4141659","4159502",
"합계","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1390701","1489893","1564187","1627480","1660813",
"합계","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1033901","1056278","1076409","1080790","1090555",
"합계","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","792690","779155","776479","774023","772973",
"합계","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","602791","573191","544807","528911","511523",
"합계","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","130122","119907","111012","106119","100781",
"합계","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","25770","23017","21153","19901","18717",
"합계","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6315","5358","4771","4435","4140",
"합계","평균 가구원수","가구원수별 가구수 (동별) (2015년 이후)","명","2.28","2.23","2.18","2.15","2.13",
"종로구","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","63414","63984","64422","64507","64643",
"종로구","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","25983","27308","28424","29334","29779",
"종로구","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","16281","16320","16471","16191","16385",
"종로구","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","10882","10690","10570","10490","10318",
"종로구","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","7679","7367","6943","6570","6290",
"종로구","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","2027","1826","1585","1529","1503",
"종로구","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","440","381","357","330","290",
"종로구","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","122","92","72","63","78",
"종로구","평균 가구원수","가구원수별 가구수 (동별) (2015년 이후)","명","2.14","2.09","2.04","2.01","1.99",
"청운효자동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","4659","","","","",
"청운효자동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1378","","","","",
"청운효자동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1252","","","","",
"청운효자동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","964","","","","",
"청운효자동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","806","","","","",
"청운효자동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","200","","","","",
"청운효자동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","49","","","","",
"청운효자동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","10","","","","",
"사직동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","3839","","","","",
"사직동","1인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1487","","","","",
"사직동","2인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1073","","","","",
"사직동","3인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","701","","","","",
"사직동","4인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","432","","","","",
"사직동","5인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","112","","","","",
"사직동","6인가구","가구원수별 가구수 (동별) (2015년 이후)","가구","28","","","","",
"사직동","7인이상가구","가구원수별 가구수 (동별) (2015년 이후)","가구","6","","","","",
"삼청동","일반가구","가구원수별 가구수 (동별) (2015년 이후)","가구","1031","","","","",
